鄉鎮市區,土地區段位置或建物區門牌,建築完成年月,編號
松山區,臺北市松山區八德路四段442號,970205,RPSNMLPLLHKFFDA77CA
大安區,臺北市大安區復興南路二段90巷12號,970125,RPOOMLLMLHKFFFA37CA
南港區,臺北市南港區重陽路125巷36弄16號,970122,RPTOMLLMLHKFFDA67CA
中山區,臺北市中山區中山北路一段53巷6號,970104,RPUNMLSKLHKFFCA08CA
信義區,臺北市信義區松勤街25號,961225,RPVOMLNLLHKFFDA08DA
中山區,臺北市中山區敬業二路69巷59號,961218,RPSOMLLJMHKFFCA27CA
北投區,臺北市北投區崗山路8巷19號,961214,RPVNMLRJMHKFFEA28CA
北投區,臺北市北投區光明路8號,961119,RPPRMLOLLHKFFEA87CA
萬華區,臺北市萬華區西園路一段73號,961119,RPWNMLLLMHKFFBA67CA
中正區,臺北市中正區汀州路二段123號,961031,RPTPMLTJMHKFFAA08CA
內湖區,臺北市內湖區金湖路68號,961030,RPPRMLLJMHKFFCA27CA
文山區,臺北市文山區萬壽路86號,961023,RPWNMLOLLHKFFAA77CA
文山區,臺北市文山區萬壽路76號,961023,RPTNMLLMLHKFFAA27CA
文山區,臺北市文山區萬芳路51號,960921,RPUOMLTJMHKFFAA08CA
大安區,臺北市大安區永康街4巷10號,960911,RPOOMLSKLHKFFFA87CA
中山區,臺北市中山區長安東路一段59號,960810,RPVOMLLJMHKFFCA57CA
大安區,臺北市大安區復興南路二段78巷64號,960806,RPSOMLKLLHKFFFA67DA
內湖區,臺北市內湖區康寧路三段70巷83號,960710,RPUQMLLJMHKFFCA77DA
大安區,臺北市大安區瑞安街142巷28號,960623,RPPPMLKMLHKFFFA47CA
內湖區,臺北市內湖區民權東路六段137號,960621,RPUOMLRLLHKFFCA28DA
大同區,臺北市大同區環河北路二段277號,960606,RPROMLQLLHKFFBA67CA
信義區,臺北市信義區永吉路42號,960524,RPXNMLQLLHKFFDA38CA
中山區,臺北市中山區明水路631號,960503,RPRQMLLJMHKFFCA37CA
大安區,臺北市大安區信義路三段110號,960322,RPTNMLKLMHKFFFA67CA
南港區,臺北市南港區港東街115號,960115,RPSNMLOKMHKFFDA67CA
文山區,臺北市文山區景豐街74號,951123,RPWNMLRLLHKFFAA08CA
松山區,臺北市松山區八德路四段649號,951110,RPPOMLPLLHKFFDA57CA
松山區,臺北市松山區八德路四段639號,951110,RPTNMLMJMHKFFDA47CA
文山區,臺北市文山區和興路87號,950906,RPROMLLJMHKFFAA96CA
大安區,臺北市大安區市民大道四段123號,950828,RPPNMLMJMHKFFFA37DA
松山區,臺北市松山區八德路二段412號,950823,RPUOMLOLLHKFFDA08DA
信義區,臺北市信義區基隆路一段131號,950802,RPVOMLQLLHKFFDA28CA
中山區,臺北市中山區建國北路二段16號,950713,RPSQMLOLLHKFFCA97DA
士林區,臺北市士林區延平北路六段365號,950215,RPWNMLPLLHKFFEA28CA
萬華區,臺北市萬華區峨眉街100號,950126,RPQOMLLMLHKFFBA17CA
大安區,臺北市大安區敦化南路二段119號,950125,RPPOMLKMLHKFFFA37CA
中山區,臺北市中山區新生北路二段137巷18號,950102,RPPNMLQKMHKFFCA57DA
內湖區,臺北市內湖區金湖路347巷121弄23號,941219,RPTNMLMJMHKFFCA47DA
大安區,臺北市大安區基隆路二段133號,941111,RPQNMLSKLHKFFFA08DA
北投區,臺北市北投區溫泉路37巷2號,941111,RPQPMLNLLHKFFEA67CA
北投區,臺北市北投區溫泉路37巷7號,941111,RPXNMLKKMHKFFEA87CA
北投區,臺北市北投區溫泉路37巷26號,941111,RPPNMLRLLHKFFEA77CA
信義區,臺北市信義區忠孝東路五段451號,941006,RPOOMLLJMHKFFDA96CA
信義區,臺北市信義區忠孝東路五段230號,940930,RPRNMLSKLHKFFDA97DA
中山區,臺北市中山區林森北路520號,940826,RPSNMLKMLHKFFCA27CA
中正區,臺北市中正區忠孝東路二段14號,940825,RPXNMLMJMHKFFBA67CA
內湖區,臺北市內湖區康寧路三段70巷4號,940811,RPSPMLLMLHKFFCA67DA
大安區,臺北市大安區富陽街173號,940506,RPUOMLKLLHKFFFA77CA
大同區,臺北市大同區民生西路171巷27號,940414,RPROMLRKLHKFFBA67CA
北投區,臺北市北投區光明路197號,940322,RPUOMLMJMHKFFEA77CA
北投區,臺北市北投區光明路202號,940322,RPVQMLLMLHKFFEA28DA
文山區,臺北市文山區萬芳路11號,940128,RPQNMLOKMHKFFAA17CA
中山區,臺北市中山區農安街1號,931117,RPRPMLNLLHKFFCA67DA
中山區,臺北市中山區農安街6號,931117,RPQPMLLJMHKFFCA17CA
士林區,臺北市士林區環河北路三段114號,930518,RPUPMLKLLHKFFEA87DA
中正區,臺北市中正區廈門街147巷14號,930514,RPRNMLRLLHKFFAA57CA
松山區,臺北市松山區三民路35巷18號,930507,RPVOMLSJMHKFFDA38CA
大安區,臺北市大安區和平東路三段98號,930409,RPWOMLSJMHKFFFA68CA
北投區,臺北市北投區稻香路161巷13號,930312,RPXPMLSJMHKFFEA78CA
內湖區,臺北市內湖區內湖路一段91巷32號,921205,RPQQMLLJMHKFFCA27CA
中正區,臺北市中正區羅斯福路二段141號,921203,RPOQMLTKLHKFFAA67CA
信義區,臺北市信義區忠孝東路五段236巷45弄56號,920922,RPVOMLLMLHKFFDA87CA
中山區,臺北市中山區中山北路二段93巷15號,920808,RPUOMLKMLHKFFCA57CA
中山區,臺北市中山區中山北路二段93巷5號,920808,RPWNMLRJMHKFFCA18CA
大同區,臺北市大同區重慶北路三段70號,920328,RPVOMLLMLHKFFBA67CA
萬華區,臺北市萬華區昆明街118號,920122,RPVNMLTKLHKFFBA18CA
內湖區,臺北市內湖區瑞光路304號,911028,RPQPMLSJMHKFFCA97DA
內湖區,臺北市內湖區瑞光路323號,911028,SPQPMLSJMHKFFCA08DA
內湖區,臺北市內湖區星雲街210巷12號,910620,RPUQMLQLLHKFFCA28CA
大同區,臺北市大同區延平北路二段287號,910603,RPQOMLSKLHKFFBA77DA
內湖區,臺北市內湖區陽光街365巷37號,910502,RPOPMLNLLHKFFCA27CA
松山區,臺北市松山區光復北路235號,910320,RPROMLLMLHKFFDA47CA
松山區,臺北市松山區健康路35巷1號,910307,RPQNMLLLLHKFFDA17CA
