SNO,RELIGION_TYPE,CB_NAME,CB_SNAME,PTNAME1,V_NAME,CB_REG_TITLE,PRESIDENT_NAME,CB_TEL,TOTAL_ADDR,R_STREET,R_SECTION,R_LANE,R_ALLEY,R_NO,R_OTHER,TOTAL_ADDR_rebuild,WGS84_Y_rebuild,WGS84_X_rebuild,WGS84_X,WGS84_Y,TM97_X,TM97_Y,DATA_STR,REG_NO,CB_PRESIDENT_NAME,total_addr2
R0077,未成立財團法人寺廟,地藏庵,,中山區,圓山里,佛教,劉鄭巧華,25977057,,玉門街,,,,11號,,中山區圓山里玉門街11號,25.0725419,121.5205673,121.5205972,25.07204771,302518.852,2773858.833,農曆7月29日|農曆7月30日|,北市民宗字第10333312700號,,
R0078,未成立財團法人寺廟,圓通巖,,中山區,劍潭里,佛教,吳博英,28855726,中山北路4段1巷1弄3號,中山北路,4段,1巷,1弄,3號,,中山區劍潭里中山北路4段1巷1弄3號,25.081628,121.528751,121.5205972,25.07204771,303339.0739,2774911.942,農曆2月19日|農曆4月8日|農曆6月19日|農曆9月19日|,北市民宗字第10333272400號,,
R0079,未成立財團法人寺廟,大忠宮,,中山區,劍潭里,佛教,游騰泉,28856791,,中山北路,4段,71巷,2弄,臨5號,,中山區劍潭里中山北路4段71巷2弄臨5號,25.080728,121.52484,121.5263292,25.08048827,303093.477,2774796.017,農曆2月19日|農曆5月18日|農曆8月18日|,北市民宗字第10431293500號,,
R0080,財團法人寺廟,財團法人台北市智仁宮,,大同區,國慶里,道教,蔡逸槐,25919870,昌吉街95巷23號,昌吉街,,95巷,,23號,,大同區國慶里昌吉街95巷23號,25.0668384,121.5132202,121.513196,25.06685271,301774.379,2773280.547,農曆6月24日|,104證他字第78號登記簿第北2冊第17頁第000251號,,
R0081,財團法人寺廟,財團法人台北市覺修宮,,大同區,老師里,道教,陳忠源,25928042,重慶北路3段340號,重慶北路,3段,,,340號,,大同區老師里重慶北路3段340號,25.0762905,121.5135436,121.5136456,25.07617787,301815.834,2774313.636,農曆4月14日|,104證他字第138號登記簿第北1冊第29頁第000051號,,
R0082,未成立財團法人寺廟,台北市圓明宮,,中山區,集英里,道教,鄭琨琪,25610023,中山北路2段128巷3之2號,中山北路,2段,128巷,,3之2號,,中山區集英里中山北路2段128巷3之2號,25.0618732,121.5218797,121.5219077,25.06182641,302655.448,2772727.181,農曆7月18日|,北市民宗字第10330051300號,,
R0083,未成立財團法人寺廟,救千宮,,文山區,老泉里,道教,陳亭安,29392661,,老泉街,,45巷,,25之3號,,文山區老泉里老泉街45巷25之3號,24.973855,121.574663,121.5746306,24.97398756,308016.023,2763019.143,農曆6月15日(九天千歲誕辰)|,北市民宗字第10332574900號,,
R0084,未成立財團法人寺廟,台北保霞宮,,中山區,中庄里,道教,陳建和,25711706,松江路226巷21號,松江路,,226巷,,21號,,中山區中庄里松江路226巷21號,25.0585747,121.5312059,121.5312828,25.05855767,303602.691,2772368.833,農曆3月15日|農曆5月13日|,北市民宗字第10333310100號,,
R0085,未成立財團法人寺廟,新福宮,,中山區,中山里,道教,洪煌龍,25631982,新生北路2段62巷33號,新生北路,2段,62巷,,33號,,中山區中山里新生北路2段62巷33號,25.0562903,121.526134,121.5312828,25.05855767,303052.7774,2772136.718,農曆8月15日|,北市民宗字第10430426300號,,
R0087,財團法人寺廟,財團法人台北保安宮,,大同區,保安里,道教,廖武治,25951676,哈密街61號,哈密街,,,,61號,,大同區保安里哈密街61號,25.0731001,121.5154992,121.5312828,25.05855767,302006.9174,2773974.484,農曆3月15日(保生文化祭)|,101證他字第209號登記簿第北4冊第9頁第000849號,,
